outcome	description	group	predictor	adjustment	beta	SE	lower	upper	OR	p	type	n_total	n_cases	n_controls	HWE_p	allele_freq	n_no_snp	note	bonferroni	fdr
041	Bacterial infection NOS	infectious diseases	case_status	NA	-1.97645198999257	1.00544484239928	0.00785368388257167	0.623194223493249	0.138559978408951	0.0493276350036282	logistic	4276	135	4141	NA	NA	0		FALSE	FALSE
345	Epilepsy, recurrent seizures, convulsions	neurological	case_status	NA	-0.80783581105008	0.419788586487379	0.174180349566542	0.929747668308861	0.445821865680031	0.0543060591623815	logistic	4146	264	3882	NA	NA	0		FALSE	FALSE
681	Superficial cellulitis and abscess	dermatologic	case_status	NA	-1.10576909854376	0.587060346471194	0.0812429801330741	0.881739774701558	0.330956246367362	0.0596231994841282	logistic	4093	173	3920	NA	NA	0		FALSE	FALSE
296.1	Bipolar	mental disorders	case_status	NA	-0.939666912475359	0.513336097376045	0.119064348950878	0.940098068473921	0.390757970289214	0.0671736974456069	logistic	3180	203	2977	NA	NA	0		FALSE	FALSE
367.1	Myopia	sense organs	case_status	NA	0.679656143288472	0.378812291996278	0.867144211724144	3.90388007822953	1.97319911780423	0.072784988682286	logistic	4364	88	4276	NA	NA	0		FALSE	FALSE
585	Renal failure	genitourinary	case_status	NA	-1.77691107279285	1.00621552887315	0.00957996368235546	0.763166326131953	0.169159863586893	0.0774067789993306	logistic	4272	118	4154	NA	NA	0		FALSE	FALSE
614.5	Inflammatory disease of cervix, vagina, and vulva	genitourinary	case_status	NA	-0.90683185861878	0.51429162754481	0.122878468896226	0.973953990960232	0.403801499911675	0.077855991639881	logistic	2368	155	2213	NA	NA	0		FALSE	FALSE
614.52	Vaginitis and vulvovaginitis	genitourinary	case_status	NA	-1.03558270989226	0.590846006721162	0.0867403170903994	0.955115635748574	0.355019447295785	0.0796515060821403	logistic	2344	131	2213	NA	NA	0		FALSE	FALSE
840	Sprains and strains	injuries & poisonings	case_status	NA	0.509504193881102	0.29956361181092	0.882979254653948	2.88436024286059	1.66446573803189	0.0889765343913211	logistic	3790	175	3615	NA	NA	0		FALSE	FALSE
345.1	Epilepsy	neurological	case_status	NA	-1.66964272174297	1.00714477107363	0.0106596585035266	0.851018656420173	0.188314334238337	0.0973582181761099	logistic	3983	101	3882	NA	NA	0		FALSE	FALSE
276.14	Hypopotassemia	endocrine/metabolic	case_status	NA	-1.65695071829521	1.00825896706368	0.0107832513493005	0.865446614583491	0.190719652281508	0.100304725762487	logistic	3783	91	3692	NA	NA	0		FALSE	FALSE
180	Cervical cancer and dysplasia	neoplasms	case_status	NA	-1.6271057719736	1.00983993240181	0.0111009966468611	0.894264846385174	0.196497460391309	0.107124989086703	logistic	2429	84	2345	NA	NA	0		FALSE	FALSE
180.3	Cervical intraepithelial neoplasia [CIN] [Cervical dysplasia]	neoplasms	case_status	NA	-1.6271057719736	1.00983993240181	0.0111009966468611	0.894264846385174	0.196497460391309	0.107124989086703	logistic	2429	84	2345	NA	NA	0		FALSE	FALSE
317	Alcohol-related disorders	mental disorders	case_status	NA	-0.9127662269695	0.592245833102841	0.0978923995814071	1.08383566988851	0.401412289310192	0.123269370926264	logistic	3790	138	3652	NA	NA	0		FALSE	FALSE
726	Peripheral enthesopathies and allied syndromes	musculoskeletal	case_status	NA	0.65954910814947	0.434360655173311	0.739447731884932	4.18213085339859	1.93392014895141	0.128904375698897	logistic	4147	76	4071	NA	NA	0		FALSE	FALSE
585.1	Acute renal failure	genitourinary	case_status	NA	-1.52520496952494	1.00741768896801	0.0123078743976019	0.985663599322765	0.217576455751682	0.130032237225854	logistic	4247	93	4154	NA	NA	0		FALSE	FALSE
636.1	Threatened premature labor	pregnancy complications	case_status	NA	-1.08661393217252	0.720222636458524	0.0551912733615657	1.08327395607582	0.337356875174058	0.131370481460058	logistic	2285	89	2196	NA	NA	0		FALSE	FALSE
495	Asthma	respiratory	case_status	NA	-0.620850526787813	0.420778580902941	0.209684163432755	1.12364888230213	0.537487095958371	0.140083448010835	logistic	4166	223	3943	NA	NA	0		FALSE	FALSE
038	Septicemia	infectious diseases	case_status	NA	-1.47262382351218	1.00798520422346	0.0129652895618261	1.04088439026366	0.229322992056115	0.144027029046373	logistic	4226	85	4141	NA	NA	0		FALSE	FALSE
297	Suicidal ideation or attempt	mental disorders	case_status	NA	-1.4456116970997	1.00976967114068	0.013310499818597	1.07212446086973	0.235601915460525	0.152251116608842	logistic	3061	84	2977	NA	NA	0		FALSE	FALSE
804	Fracture of hand or wrist	injuries & poisonings	case_status	NA	0.577736814714355	0.40498084012055	0.734856179711656	3.68149348479307	1.78200086545655	0.153701528115057	logistic	3945	92	3853	NA	NA	0		FALSE	FALSE
530	Diseases of esophagus	digestive	case_status	NA	-0.652668983874071	0.460220350378923	0.183218329942488	1.15669479723918	0.520654302738189	0.156142223095578	logistic	4163	193	3970	NA	NA	0		FALSE	FALSE
578	Gastrointestinal hemorrhage	digestive	case_status	NA	-1.0169698985227	0.71791888682058	0.059361489804449	1.15231012690497	0.361689236511203	0.156613761818274	logistic	4169	110	4059	NA	NA	0		FALSE	FALSE
594	Urinary calculus	genitourinary	case_status	NA	-1.41674610879943	1.00981906029768	0.0137012959903511	1.10320185703733	0.242501809009501	0.160625707783727	logistic	4392	81	4311	NA	NA	0		FALSE	FALSE
300.1	Anxiety disorder	mental disorders	case_status	NA	0.340444082371556	0.243608788922192	0.849293828030839	2.21721407813148	1.40557164157629	0.16226228000184	logistic	3281	304	2977	NA	NA	0		FALSE	FALSE
508	Pulmonary collapse; interstitial and compensatory emphysema	respiratory	case_status	NA	-0.999243595088417	0.718071942768436	0.0604121056957468	1.17347676770339	0.36815781225497	0.16405424297372	logistic	4163	108	4055	NA	NA	0		FALSE	FALSE
381.11	Suppurative and unspecified otitis media	sense organs	case_status	NA	0.647935708483508	0.475500495346651	0.658042353132787	4.4154772187678	1.91159067287071	0.17299618591524	logistic	4130	57	4073	NA	NA	0		FALSE	FALSE
291	Other specified nonpsychotic and/or transient mental disorders	mental disorders	case_status	NA	0.645492963318262	0.474550973446343	0.657378765996277	4.39475583684355	1.90692684259015	0.173760823236833	logistic	4170	59	4111	NA	NA	0		FALSE	FALSE
250	Diabetes mellitus	endocrine/metabolic	case_status	NA	-0.692087613830088	0.51252821810563	0.152668490121756	1.20189919570469	0.500530064134498	0.176906784722486	logistic	4419	157	4262	NA	NA	0		FALSE	FALSE
250.1	Type 1 diabetes	endocrine/metabolic	case_status	NA	-1.34692666348392	1.00840397143947	0.0146981785661	1.18140391095714	0.260038218774213	0.181646869858744	logistic	4339	77	4262	NA	NA	0		FALSE	FALSE
530.1	Esophagitis, GERD and related diseases	digestive	case_status	NA	-0.613592115476824	0.460522794399499	0.190436233169952	1.20370772215356	0.541402591322617	0.182734812556164	logistic	4155	185	3970	NA	NA	0		FALSE	FALSE
300.9	Posttraumatic stress disorder	mental disorders	case_status	NA	-0.68532541320617	0.515684411241319	0.153042533632574	1.21971243245624	0.503926218644129	0.18386023408342	logistic	3124	147	2977	NA	NA	0		FALSE	FALSE
507	Pleurisy; pleural effusion	respiratory	case_status	NA	-1.33096516095674	1.00893940702298	0.0149269309258077	1.20265212731505	0.264222121318652	0.187111436107664	logistic	4127	72	4055	NA	NA	0		FALSE	FALSE
476	Allergic rhinitis	respiratory	case_status	NA	0.389972447816881	0.298634797211016	0.784672894494116	2.55381596196076	1.47694010039795	0.191603347407977	logistic	3815	198	3617	NA	NA	0		FALSE	FALSE
788	Syncope and collapse	symptoms	case_status	NA	-0.646450307177566	0.512731088604142	0.159757981530643	1.25865188447835	0.523902171774531	0.207381651352082	logistic	4277	142	4135	NA	NA	0		FALSE	FALSE
841	Sprains and strains of back and neck	injuries & poisonings	case_status	NA	-1.26727455098626	1.01056321214565	0.0158934694082081	1.28594023037887	0.281598058011993	0.209831832967757	logistic	3686	71	3615	NA	NA	0		FALSE	FALSE
495.2	Asthma with exacerbation	respiratory	case_status	NA	-1.25808042069115	1.00978990884029	0.0160484219447974	1.29556822003254	0.284199045836477	0.212807228571176	logistic	4012	69	3943	NA	NA	0		FALSE	FALSE
647.1	Infections of genitourinary tract during pregnancy	pregnancy complications	case_status	NA	-1.2487147634624	1.0125635726635	0.0161640360160979	1.31811365585586	0.286873260023752	0.217493285030112	logistic	2537	56	2481	NA	NA	0		FALSE	FALSE
512.2	Painful respiration	respiratory	case_status	NA	-1.24647505793918	1.01116334301781	0.016220441857403	1.31502037138721	0.28751649170458	0.217682542539401	logistic	3287	69	3218	NA	NA	0		FALSE	FALSE
687.1	Rash and other nonspecific skin eruption	dermatologic	case_status	NA	-0.886202363626006	0.719149493174043	0.0675552712181019	1.31800939498869	0.412218238975592	0.217839925161274	logistic	4065	93	3972	NA	NA	0		FALSE	FALSE
381.1	Otitis media	sense organs	case_status	NA	0.577952626815495	0.473921623816725	0.614960922151478	4.10043649665738	1.78238548430877	0.222650308658783	logistic	4134	61	4073	NA	NA	0		FALSE	FALSE
458	Hypotension	circulatory system	case_status	NA	-1.21847807658487	1.01111484432282	0.0166853448840839	1.35114805856886	0.295679826714998	0.228170969168726	logistic	4362	65	4297	NA	NA	0		FALSE	FALSE
530.11	GERD	digestive	case_status	NA	-0.541288127804003	0.461074845101633	0.204552387154608	1.29577839210848	0.58199808140914	0.240406962347054	logistic	4143	173	3970	NA	NA	0		FALSE	FALSE
280.1	Iron deficiency anemias, unspecified or not due to blood loss	hematopoietic	case_status	NA	-1.17899567482756	1.01271906484722	0.0173309187101702	1.41330756080203	0.307587501396436	0.244347715324634	logistic	3893	55	3838	NA	NA	0		FALSE	FALSE
282	Hereditary hemolytic anemias	hematopoietic	case_status	NA	-1.15316173926779	1.01301752830805	0.0177794376512437	1.45177115823261	0.315637227449831	0.254977150494258	logistic	3891	53	3838	NA	NA	0		FALSE	FALSE
509.1	Respiratory failure	respiratory	case_status	NA	-1.13426383822709	1.01044047080442	0.0181441839439905	1.47217561850641	0.321658827129276	0.26163123128576	logistic	4116	61	4055	NA	NA	0		FALSE	FALSE
521	Diseases of hard tissues of teeth	digestive	case_status	NA	0.529457153693224	0.474122977048628	0.585678676849029	3.90828938187923	1.69801029976655	0.26411898666059	logistic	4064	62	4002	NA	NA	0		FALSE	FALSE
521.1	Dental caries	digestive	case_status	NA	0.529457153693224	0.474122977048628	0.585678676849029	3.90828938187923	1.69801029976655	0.26411898666059	logistic	4064	62	4002	NA	NA	0		FALSE	FALSE
296	Mood disorders	mental disorders	case_status	NA	-0.248056474267766	0.222255831496234	0.493758079960197	1.18431339789106	0.780315874266038	0.264385608623506	logistic	3607	630	2977	NA	NA	0		FALSE	FALSE
297.1	Suicidal ideation	mental disorders	case_status	NA	-1.1081971423322	1.01223114680615	0.0186087139158525	1.51515353292432	0.33015364487921	0.273601460030198	logistic	3038	61	2977	NA	NA	0		FALSE	FALSE
287	Purpura and other hemorrhagic conditions	hematopoietic	case_status	NA	-1.09956820915094	1.01048652507912	0.0187869282805664	1.52350871068937	0.333014845421201	0.276525706303374	logistic	4309	59	4250	NA	NA	0		FALSE	FALSE
317.1	Alcoholism	mental disorders	case_status	NA	-0.781473409908446	0.722819504997821	0.0746826405194106	1.47940807795087	0.457731088687013	0.279632178234128	logistic	3735	83	3652	NA	NA	0		FALSE	FALSE
338	Pain	neurological	case_status	NA	0.406872012093059	0.376345356328646	0.662592121756318	2.95366732377781	1.5021118412079	0.279646668317937	logistic	4311	113	4198	NA	NA	0		FALSE	FALSE
578.2	Blood in stool	digestive	case_status	NA	-1.09305028710331	1.0111630976806	0.01889716389125	1.53709947689291	0.335192499404326	0.279704601714941	logistic	4116	57	4059	NA	NA	0		FALSE	FALSE
078	Viral warts & HPV	infectious diseases	case_status	NA	0.510222314114953	0.473610737714852	0.574954811745268	3.82898407551766	1.66566145383939	0.281344879546693	logistic	3787	62	3725	NA	NA	0		FALSE	FALSE
649	Other conditions or status of the mother complicating pregnancy, childbirth, or the puerperium	pregnancy complications	case_status	NA	-0.454412087802051	0.42554970885968	0.245872437615077	1.34332286986063	0.634821077314576	0.28560002071352	logistic	2474	152	2322	NA	NA	0		FALSE	FALSE
038.3	Bacteremia	infectious diseases	case_status	NA	-1.05811604283697	1.01126487083741	0.0195642898431436	1.59319678047942	0.347109133458761	0.295409032043235	logistic	4196	55	4141	NA	NA	0		FALSE	FALSE
427.7	Tachycardia NOS	circulatory system	case_status	NA	-0.533759787518075	0.513807641486842	0.178553540590408	1.41266411189801	0.586396095111848	0.29888290530081	logistic	3975	137	3838	NA	NA	0		FALSE	FALSE
285	Other anemias	hematopoietic	case_status	NA	-0.382406618013581	0.368702763166254	0.304536279464035	1.317128318763	0.682217594836185	0.299657681685876	logistic	4061	223	3838	NA	NA	0		FALSE	FALSE
345.12	Partial epilepsy	neurological	case_status	NA	-1.0451074448182	1.01177168372461	0.0198176344599769	1.61486163523303	0.351654033944433	0.301628276835762	logistic	3936	54	3882	NA	NA	0		FALSE	FALSE
475	Chronic sinusitis	respiratory	case_status	NA	0.534766393461489	0.527095626899535	0.510332447543253	4.25773132842543	1.70704941776647	0.310319003839105	logistic	3672	55	3617	NA	NA	0		FALSE	FALSE
250.2	Type 2 diabetes	endocrine/metabolic	case_status	NA	-0.519246802336119	0.51447981975086	0.180965275442767	1.43610151781453	0.594968508138153	0.312847256070722	logistic	4393	131	4262	NA	NA	0		FALSE	FALSE
315	Develomental delays and disorders	mental disorders	case_status	NA	-1.01460112779361	1.01138078910989	0.0204380105462424	1.6629912952476	0.362547010922052	0.315772042578415	logistic	4177	57	4120	NA	NA	0		FALSE	FALSE
681.7	Cellulitis and abscess of trunk	dermatologic	case_status	NA	-1.0141501358301	1.01227000623524	0.0204287223835038	1.66915699053136	0.362710553585812	0.316412498770508	logistic	3972	52	3920	NA	NA	0		FALSE	FALSE
801	Fracture of ankle and foot	injuries & poisonings	case_status	NA	-0.720446337255602	0.720388029266237	0.0796173737284704	1.56139777780429	0.486535048771324	0.317271339373498	logistic	3942	89	3853	NA	NA	0		FALSE	FALSE
428	Congestive heart failure; nonhypertensive	circulatory system	case_status	NA	-1.0012600596073	1.01233694468938	0.0207095597561185	1.68614156894586	0.367416183074969	0.322634714021611	logistic	4425	58	4367	NA	NA	0		FALSE	FALSE
480	Pneumonia	respiratory	case_status	NA	-0.505121670226116	0.513367755211106	0.183858205791928	1.45206973408068	0.603432151234076	0.325146354635837	logistic	4039	141	3898	NA	NA	0		FALSE	FALSE
287.3	Thrombocytopenia	hematopoietic	case_status	NA	-0.994850251216186	1.0114997261056	0.0208408723915139	1.69763740968968	0.369778814325902	0.325341830766457	logistic	4303	53	4250	NA	NA	0		FALSE	FALSE
416	Cardiomegaly	circulatory system	case_status	NA	-0.99052807131663	1.01220835172623	0.0209356033247077	1.70360934122265	0.371380523829281	0.327786948319859	logistic	4424	57	4367	NA	NA	0		FALSE	FALSE
801.1	Fracture of foot	injuries & poisonings	case_status	NA	-0.986131658388571	1.01181737781418	0.0210194999343481	1.7136113507587	0.373016860335306	0.329751630828735	logistic	3911	58	3853	NA	NA	0		FALSE	FALSE
994	Sepsis and SIRS	injuries & poisonings	case_status	NA	-0.984614899542013	1.01287834433592	0.0210462692845644	1.71754082460858	0.373583066248499	0.331002834875599	logistic	4458	54	4404	NA	NA	0		FALSE	FALSE
536	Disorders of function of stomach	digestive	case_status	NA	-0.983121718973679	1.01323264670579	0.0210707151290456	1.72225847447114	0.374141309899245	0.331905789545834	logistic	4307	50	4257	NA	NA	0		FALSE	FALSE
785	Abdominal pain	symptoms	case_status	NA	-0.19270871104102	0.200710827786297	0.54816679845763	1.2069118638179	0.824722171616791	0.336989229974963	logistic	3717	716	3001	NA	NA	0		FALSE	FALSE
280	Iron deficiency anemias	hematopoietic	case_status	NA	-0.686441402453079	0.722427306105227	0.0821697744230332	1.62505988004414	0.503364156089105	0.342016984361707	logistic	3906	68	3838	NA	NA	0		FALSE	FALSE
619	Noninflammatory female genital disorders	genitourinary	case_status	NA	-0.560829328230866	0.594134150165219	0.13884118039155	1.5494488850415	0.57073554042675	0.345198298482506	logistic	2470	88	2382	NA	NA	0		FALSE	FALSE
428.1	Congestive heart failure (CHF) NOS	circulatory system	case_status	NA	-0.940874345056694	1.01295905670014	0.0219856846876903	1.79493363762357	0.390286441111603	0.352973313641168	logistic	4422	55	4367	NA	NA	0		FALSE	FALSE
452	Other venous embolism and thrombosis	circulatory system	case_status	NA	-0.921219489578019	1.01339654520696	0.0224128006455145	1.83329560086028	0.398033347476608	0.363328233727605	logistic	4332	50	4282	NA	NA	0		FALSE	FALSE
599.3	Dysuria	genitourinary	case_status	NA	-0.463182999514288	0.515701129401936	0.191114742708415	1.52330000068052	0.629277464500284	0.36909935257412	logistic	3994	121	3873	NA	NA	0		FALSE	FALSE
916	Contusion	injuries & poisonings	case_status	NA	-0.630522122289186	0.721066559888109	0.0870389751981329	1.71177566237514	0.532313795539295	0.381884208541136	logistic	3911	76	3835	NA	NA	0		FALSE	FALSE
509	Respiratory failure, insufficiency, arrest	respiratory	case_status	NA	-0.50801123707276	0.59154145487626	0.146880296890601	1.62187827036917	0.601691010478457	0.390455125362879	logistic	4157	102	4055	NA	NA	0		FALSE	FALSE
653	Problems associated with amniotic cavity and membranes	pregnancy complications	case_status	NA	-0.61763452209167	0.723287120676028	0.0878807486770636	1.74797447799882	0.539218439495335	0.393145345664147	logistic	2599	62	2537	NA	NA	0		FALSE	FALSE
474	Acute and chronic tonsillitis	respiratory	case_status	NA	0.446064238312624	0.526114175288184	0.467635543890288	3.88595434923301	1.56215181330721	0.396523276155187	logistic	3674	57	3617	NA	NA	0		FALSE	FALSE
523	Gingival and periodontal diseases	digestive	case_status	NA	0.444239431695975	0.526059101583602	0.466856141995766	3.87930496490348	1.55930378768038	0.398408623351343	logistic	4055	53	4002	NA	NA	0		FALSE	FALSE
418	Nonspecific chest pain	circulatory system	case_status	NA	-0.208972916526437	0.249461817352967	0.482433251958478	1.28958447151163	0.811417211342413	0.402202023572036	logistic	3933	455	3478	NA	NA	0		FALSE	FALSE
260	Protein-calorie malnutrition	endocrine/metabolic	case_status	NA	-0.603138802426752	0.720885038629754	0.0894743217761091	1.75839552248388	0.547091725440749	0.402781271017217	logistic	4283	74	4209	NA	NA	0		FALSE	FALSE
465.2	Acute pharyngitis	respiratory	case_status	NA	0.226381306007679	0.27329961557292	0.707501464104374	2.07975933436312	1.25405375235338	0.40748563566927	logistic	3437	267	3170	NA	NA	0		FALSE	FALSE
760	Back pain	symptoms	case_status	NA	0.19700306697005	0.239717310752224	0.740752190944304	1.90454918760783	1.21774777549614	0.411182705309705	logistic	3968	371	3597	NA	NA	0		FALSE	FALSE
642	Hypertension complicating pregnancy, childbirth, and the puerperium	pregnancy complications	case_status	NA	-0.593513743317539	0.72336036821197	0.0900149043429968	1.79122886232119	0.552382938908589	0.41193383822602	logistic	2654	61	2593	NA	NA	0		FALSE	FALSE
798	Malaise and fatigue	symptoms	case_status	NA	0.185089358718317	0.235544778937379	0.739180792770899	1.86909760378306	1.20332596298934	0.431988966618857	logistic	3949	387	3562	NA	NA	0		FALSE	FALSE
295	Schizophrenia and other psychotic disorders	mental disorders	case_status	NA	-0.561648599303448	0.723111415305379	0.0930174680329794	1.84472614612241	0.570268144796387	0.437329288343051	logistic	3053	76	2977	NA	NA	0		FALSE	FALSE
564	Functional digestive disorders	digestive	case_status	NA	0.36421828927699	0.470535406979611	0.499049685534239	3.28293252875469	1.43938838291638	0.438900774513004	logistic	4088	71	4017	NA	NA	0		FALSE	FALSE
338.2	Chronic pain	neurological	case_status	NA	0.360232687310581	0.471674112045744	0.496209011719874	3.27867192637181	1.43366297093265	0.445026873045195	logistic	4271	73	4198	NA	NA	0		FALSE	FALSE
512.7	Shortness of breath	respiratory	case_status	NA	-0.266444784819104	0.3513182322146	0.357836252300509	1.44154856786383	0.766098302814782	0.448202976529153	logistic	3460	242	3218	NA	NA	0		FALSE	FALSE
327	Sleep disorders	neurological	case_status	NA	0.352479113603528	0.471103522435709	0.492787912336953	3.24872542373663	1.42258994266077	0.454340224713493	logistic	4254	75	4179	NA	NA	0		FALSE	FALSE
619.4	Noninflammatory disorders of vagina	genitourinary	case_status	NA	-0.534468052264443	0.724803056135266	0.0953441697338216	1.90734506254531	0.585980918475115	0.460880579279222	logistic	2439	57	2382	NA	NA	0		FALSE	FALSE
599	Other symptoms/disorders or the urinary system	genitourinary	case_status	NA	0.234626838393199	0.322277596759112	0.634978946693609	2.27326142137957	1.26443684140235	0.466596970253254	logistic	4046	173	3873	NA	NA	0		FALSE	FALSE
634	Miscarriage; stillbirth	pregnancy complications	case_status	NA	-0.527592356122526	0.726190556728585	0.0958451625453423	1.92830979478846	0.590023828197468	0.467519719780433	logistic	2248	52	2196	NA	NA	0		FALSE	FALSE
256.4	Polycystic ovaries	endocrine/metabolic	case_status	NA	0.377811744339332	0.528665566797077	0.435251634564721	3.65410795181631	1.45908823539926	0.474824291974085	logistic	2604	52	2552	NA	NA	0		FALSE	FALSE
